,img_name,p_sr,p_p_sh,p_p_cn,p_cv_stsh,p_cv_sh,p_cv_mlsh,p_cv_hib
37,k3a_240401190230216_000123.png,31.05281273736628,30.8548333644061,29.352701379297415,28.541380770304773,28.78344860465399,30.02467094033579,28.351507107389246
38,A25_240402183920968_000018.png,36.45308606315841,35.509669395579365,29.39438980438358,29.038140205422632,29.682680854927046,32.9376983070355,27.61997734778752
39,cas_240403162650458_000160.png,32.21161163518867,31.911890902958397,29.494589355876563,29.178441701929657,29.429080585515965,30.817462568599503,28.850166506452396
40,vv_240308174958952_000063.png,34.08289972861939,33.69116199590905,28.903800685174556,29.04394608720086,29.63556260967367,32.14387575739202,27.52595714745859
41,A25_240403024928500_000027.png,33.20988595289125,32.40158204883335,29.527456810433893,28.54135331931211,28.870408950565356,30.750516810425307,28.05307337611047
42,A50_240402111122638_000016.png,29.582160026648623,29.349371033418517,28.28904297324394,28.034906339144694,28.16718400266311,28.84294867470034,27.860586821882933
43,k3a_240401191946633_000568.png,29.856147998105683,29.821219010144084,28.57548899181878,28.180787770679142,28.392690917220563,29.343073456428765,27.828016146978257
44,cas_240403170159446_000213.png,38.244203484225096,36.623373289875445,28.228574051364074,29.19344009722375,29.880328972488513,33.56833710681574,27.779920705630353
45,vv_240308165624084_000040.png,34.488617526670495,33.57679234460812,29.44090529139015,28.615030960149937,29.05716613064636,31.437134232345684,28.18661354232955
46,k3a_240401210025678_000325.png,29.50389735317185,29.20930085231831,28.45320393718774,27.957156111886505,28.043052527932353,28.63264844628008,27.845556335372112
47,dota_P1750_6.png,54.48423244593962,53.12626790178367,39.7788463905591,36.39744053422005,39.35925753531868,44.866784296471494,27.71189038745785
48,vv_240308190743508_000313.png,35.310907581699716,34.205435883553285,29.274520876769312,28.690051884888025,29.174083778830166,31.744683412416933,27.659346475284433
49,cas_240403174024123_000428.png,38.451061276317304,37.23833809373466,29.47816110489573,30.056718846443754,31.02242181832502,34.62784192371308,27.46520428377433
50,A50_240402110315310_000015.png,32.03650352421315,31.672085178395037,28.517485160790002,28.58114492287015,28.95864648130602,30.647031363239435,27.653541257740226
51,A50_240402110519802_000004.png,30.574615532251702,30.329913113873946,28.267150517090386,28.3365446334583,28.587554413928142,29.640797153219843,27.69928344979398
52,dota_P5789_243.png,41.076542328448404,37.93414411842348,31.475705560211967,29.34418631658886,30.117894184973288,33.97438925654645,27.70935087278193
